phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
7.0854271357e-04, 2.4357391032e-01, -1.4127264604e-03, -5.1264826452e+00, 3.2253282565e+00
7.1959798995e-04, 2.4737247991e-01, -1.4261303904e-03, -5.0310542466e+00, 3.2704711795e+00
7.3065326633e-04, 2.5117104950e-01, -1.4392837668e-03, -4.9366012772e+00, 3.3147239713e+00
7.4170854271e-04, 2.5496961910e-01, -1.4521890507e-03, -4.8430378283e+00, 3.3581826253e+00
7.5276381910e-04, 2.5876818869e-01, -1.4648484764e-03, -4.7502779912e+00, 3.4009412805e+00
7.6381909548e-04, 2.6256675828e-01, -1.4772640513e-03, -4.6582358570e+00, 3.4430923564e+00
7.7487437186e-04, 2.6636532788e-01, -1.4894375565e-03, -4.5668255170e+00, 3.4847266749e+00
7.8592964824e-04, 2.7016389747e-01, -1.5013705459e-03, -4.4759610625e+00, 3.5259335732e+00
7.9698492462e-04, 2.7396246707e-01, -1.5130643469e-03, -4.3855565847e+00, 3.5668010066e+00
8.0804020101e-04, 2.7776203647e-01, -1.5245200602e-03, -4.2955261749e+00, 3.6074156430e+00
8.1909547739e-04, 2.8156198079e-01, -1.5357385596e-03, -4.2057839243e+00, 3.6478629498e+00
8.3015075377e-04, 2.8536192512e-01, -1.5467204923e-03, -4.1162439241e+00, 3.6882272739e+00
8.4120603015e-04, 2.8916186945e-01, -1.5574662788e-03, -4.0268202655e+00, 3.7285919152e+00
8.5226130653e-04, 2.9296181378e-01, -1.5679761126e-03, -3.9374270400e+00, 3.7690391946e+00
8.6331658291e-04, 2.9676175811e-01, -1.5782499608e-03, -3.8479783385e+00, 3.8096505168e+00
8.7437185930e-04, 3.0056170244e-01, -1.5882875636e-03, -3.7583882526e+00, 3.8505064278e+00
8.8542713568e-04, 3.0436164677e-01, -1.5980884345e-03, -3.6685708732e+00, 3.8916866692e+00
8.9648241206e-04, 3.0816159109e-01, -1.6076518602e-03, -3.5784402918e+00, 3.9332702270e+00
9.0753768844e-04, 3.1196036160e-01, -1.6169769007e-03, -3.4879105996e+00, 3.9753353782e+00
9.1859296482e-04, 3.1575858433e-01, -1.6260623893e-03, -3.3968958877e+00, 4.0179597332e+00
9.2964824121e-04, 3.1955680706e-01, -1.6349069325e-03, -3.3053102475e+00, 4.0612202758e+00
9.4070351759e-04, 3.2335502979e-01, -1.6435089102e-03, -3.2130677702e+00, 4.1051933993e+00
9.5175879397e-04, 3.2715325252e-01, -1.6518664755e-03, -3.1200825470e+00, 4.1499549415e+00
9.6281407035e-04, 3.3095147524e-01, -1.6599775546e-03, -3.0262686691e+00, 4.1955802163e+00
9.7386934673e-04, 3.3474969797e-01, -1.6678398472e-03, -2.9315402279e+00, 4.2421440433e+00
9.8492462312e-04, 3.3854792070e-01, -1.6754508261e-03, -2.8358113146e+00, 4.2897207760e+00
9.9597989950e-04, 3.4234614343e-01, -1.6828077375e-03, -2.7389960204e+00, 4.3383843271e+00
1.0070351759e-03, 3.4614313608e-01, -1.6899076007e-03, -2.6410084365e+00, 4.3882081931e+00
1.0180904523e-03, 3.4993942585e-01, -1.6967472085e-03, -2.5417626543e+00, 4.4392654766e+00
1.0291457286e-03, 3.5373571561e-01, -1.7033231268e-03, -2.4411727648e+00, 4.4916289079e+00
1.0402010050e-03, 3.5753200537e-01, -1.7096316947e-03, -2.3391528595e+00, 4.5453708642e+00
1.0512562814e-03, 3.6132829513e-01, -1.7156690247e-03, -2.2356170295e+00, 4.6005633886e+00
1.0623115578e-03, 3.6512458489e-01, -1.7214310026e-03, -2.1304793661e+00, 4.6572782075e+00
1.0733668342e-03, 3.6892087465e-01, -1.7269132873e-03, -2.0236539605e+00, 4.7155867465e+00
1.0844221106e-03, 3.7271716441e-01, -1.7321113111e-03, -1.9150549040e+00, 4.7755601461e+00
1.0954773869e-03, 3.7651345417e-01, -1.7370202795e-03, -1.8045962878e+00, 4.8372692760e+00
1.1065326633e-03, 3.8031161051e-01, -1.7416351713e-03, -1.6921922031e+00, 4.9007847487e+00
1.1175879397e-03, 3.8411105910e-01, -1.7459507385e-03, -1.5777567413e+00, 4.9661769320e+00
