Starting dry volume fraction: 0.0022
Maximum dry volume fraction: 0.0028
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 54.465075645095865
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00276, 0.6314606226129728, 2449.8327366937588, 2460.362442012168, 2475.8775964065803, 9.757238984368055, 2460.311126763841, 0.051315248326832534, -0.0171609962048817, 1.5178416817245375, -0.0019344961916942342, 0.0014349608164471023, 6.353986872427988, 0.6996310941484328, 0.0, 0.4764176055094863, 0.1375583275049547, 0.00342857174075181
0.00277, 0.7014891441386072, 1505.1357962749546, 1528.3685718726872, 1528.7515454393526, 9.989824899779967, 1511.6694163001764, 16.69915557251081, -0.015616830155550761, 1.516318939329962, -0.0019845540340875595, 0.00148616074735464, 6.365212181069955, 0.7021659894170866, 0.0, 0.4559885831744835, 0.1407755930554209, 0.0034296269691940786
0.00278, 0.704067333248794, 710.0739078546438, 711.5657894396286, 725.1030793948904, 10.123360424148983, 699.6021281115483, 11.963661328080347, -0.00997450214483025, 1.5106921134241404, -0.0019469965376013938, 0.001525423813599848, 6.364464897119344, 0.7047008846857403, 0.0, 0.4771298308920621, 0.13778684017523019, 0.00342864060093082
0.00181, 0.39808644731514087, -3.840282524800131, 16.92733301452101, 6.222306609988407, 1.9681696727894182, 17.194153337702417, -0.26682032318140503, -0.004348101824998431, 1.5043973137499287, -0.004225714752813894, 2.561352682493718E-4, 6.332037798353906, 0.45881604362632705, 0.0, 0.00477794124898784, 1.1933931741763524, 0.003428650665420915
0.00182, 0.3975069728270253, -3.6186744992929527, 13.413191450319735, 6.404388365413935, 2.001395319131462, 14.318565902190265, -0.9053744518705307, -0.004354950599560236, 1.5044066893356849, -0.00421948048287662, 2.620962454924403E-4, 6.332557150205764, 0.4613509388949808, 0.0, 0.005001745766408024, 1.1685323764701465, 0.003428729331531084
0.00183, 0.4049861697547019, -19.592786959268555, -17.65033706820525, -9.600623121042808, 1.845270964114082, -18.92768610123721, 1.2773490330319592, -0.004365379723018523, 1.504409660890433, -0.0043055472398917565, 2.5469260219033747E-4, 6.3331325, 0.46388583416363455, 0.0, 0.004539871669950999, 1.2287767972011248, 0.003428573628574161
0.00184, 0.4080377597712304, -13.33012129780521, -5.687036729876443, -3.203039692940043, 2.0387281702899553, -7.621518778656703, 1.9344820487802599, -0.004448499266365657, 1.5045034825602208, -0.004228101091013333, 2.709786635792592E-4, 6.332746481481482, 0.4664207294322883, 0.0, 0.005299129496696441, 1.1394136951984872, 0.0034285887805094967
0.00185, 0.4087579424233721, -10.096614814558228, 4.205681802059193, -0.06836494974243164, 2.009989390149234, 6.036243865164319, -1.8305620631051258, -0.00442902636391533, 1.5044823193670878, -0.0043396446482346284, 2.668744938582112E-4, 6.333273775720164, 0.46895562470094204, 0.0, 0.004630075661505638, 1.221164843058859, 0.003428678665481641
0.00186, 0.3973877005108975, -5.125961256282567, -7.654201812447448, 5.000792748686827, 1.959894649167303, -8.370230501170427, 0.71602868872298, -0.004496707051052611, 1.5045474886775145, -0.004295423238318197, 2.6512350321320085E-4, 6.3321148868312775, 0.4714905199695958, 0.0, 0.0051299689970885414, 1.1622281004966586, 0.0034286354569701767
0.00187, 0.41267005397202733, -4.834453880279792, 9.554751595269392, 5.141365090327088, 2.0434290150698313, 9.813939207602845, -0.2591876123334514, -0.0044535010260763775, 1.504509409442453, -0.004325408846707044, 2.731440693715185E-4, 6.333672078189293, 0.47402541523824954, 0.0, 0.005076784503297118, 1.170389988318885, 0.0034286199352962943
0.00188, 0.40574162758388305, -8.436084626691432, 6.693011909940843, 1.6343683131216895, 1.9076102579595524, 7.224626569751077, -0.5316146598102341, -0.004519789868018501, 1.5045678306826524, -0.004362756663843329, 2.6680730046761914E-4, 6.332450997942378, 0.4765603105069033, 0.0, 0.004969550154744805, 1.1850549933025423, 0.0034286053981439947
0.00189, 0.41049492420451184, -3.3634740984966136, 2.480516663091561, 6.596051386989468, 1.9612824531065471, 0.8836264874494978, 1.5968901756420633, -0.004493780363136762, 1.5045463621831117, -0.0043959743956547654, 2.7344417188054064E-4, 6.332696697530863, 0.47909520577555703, 0.0, 0.004895740988548772, 1.1960678365883646, 0.0034285779747608735
0.0019, 0.4113234461823786, -24.464722659878337, -25.082002780108652, -14.46486949734223, 2.030999692408343, -25.695536464326437, 0.6135336842177849, -0.004535849273880619, 1.5045920861208535, -0.004389624680573155, 2.773254785388977E-4, 6.332633580246915, 0.4816301010442108, 0.0, 0.00511540762357062, 1.17216523775907, 0.0034290961571926235
0.00191, 0.40739661113401376, -10.21561485471562, -0.8184446559243861, -0.10420248782228676, 2.0390547386864117, -0.7490714981824981, -0.06937315774188799, -0.00461059080941752, 1.5046666856567061, -0.004391487893937213, 2.7929279500200725E-4, 6.332006028806583, 0.4841649963128645, 0.0, 0.005278113721784659, 1.1559778466433703, 0.0034286142630810994
0.00192, 0.41515663903041844, -2.70715901263771, 14.39839418072386, 7.294941667525264, 2.039576902375228, 15.599659838312096, -1.2012656575882363, -0.004584625241906149, 1.504641811590737, -0.004432198591853273, 2.7991877799456004E-4, 6.332313909465017, 0.4866998915815183, 0.0, 0.005142424808312578, 1.1731697644927483, 0.0034285737307868003
