phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
1.0140703518e-03, 3.4856701572e-01, 8.8416921547e-02, 2.3572384822e+03, 1.9920173373e+03
1.0276381910e-03, 3.5322798699e-01, 9.5936916926e-02, 2.2852371774e+03, 1.8941855199e+03
1.0412060302e-03, 3.5788895827e-01, 1.0321594034e-01, 2.2084872632e+03, 1.7932477166e+03
1.0547738693e-03, 3.6254992954e-01, 1.1023898979e-01, 2.1272228410e+03, 1.6894342173e+03
1.0683417085e-03, 3.6721090081e-01, 1.1699182155e-01, 2.0416780122e+03, 1.5829725322e+03
1.0819095477e-03, 3.7187187208e-01, 1.2346095015e-01, 1.9520868779e+03, 1.4740875667e+03
1.0954773869e-03, 3.7653284336e-01, 1.2963364843e-01, 1.8586835397e+03, 1.3630017819e+03
1.1090452261e-03, 3.8119383290e-01, 1.3549794746e-01, 1.7617020988e+03, 1.2499353451e+03
1.1226130653e-03, 3.8585483159e-01, 1.4104263661e-01, 1.6613766565e+03, 1.1351062674e+03
1.1361809045e-03, 3.9051583027e-01, 1.4625726353e-01, 1.5579413142e+03, 1.0187305333e+03
1.1497487437e-03, 3.9517682896e-01, 1.5113213412e-01, 1.4516301733e+03, 9.0102221963e+02
1.1633165829e-03, 3.9983782764e-01, 1.5565831257e-01, 1.3426773350e+03, 7.8219360724e+02
1.1768844221e-03, 4.0449882633e-01, 1.5982762134e-01, 1.2313169008e+03, 6.6245528431e+02
1.1904522613e-03, 4.0915982501e-01, 1.6363264117e-01, 1.1177829718e+03, 5.4201624282e+02
1.2040201005e-03, 4.1382058522e-01, 1.6706671106e-01, 1.0023096496e+03, 4.2108396857e+02
1.2175879397e-03, 4.1848077902e-01, 1.7012392830e-01, 8.8513103532e+02, 2.9986452502e+02
1.2311557789e-03, 4.2314097283e-01, 1.7279914843e-01, 7.6648123042e+02, 1.7856263170e+02
