Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 3.0E-5
Maximum x-link fraction: 1.0E-4
x-link fraction increment: 3.0E-6
Reservoir swelling ratio: 7.0053187131881725
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00565, 0.7918689002127061, 126.11558503946165, 86.25985158682475, 85.58046781845486, 85.66639199353597, 0.6793837683698881, 0.05364310611078364, 0.05364717307673929, 1.446360960855172, -0.010221935798633763, 0.06252945335294412, 0.0013355885564732895, 6.977498539094651, 1.9423708145439726, 4018.37483041443, 5691.776828881815, 0.7059965545423299
0.00575, 0.7732754330607151, 129.6372172954826, 88.34737293791576, 87.2493155990325, 87.23391165560386, 1.098057338883267, 0.05670025377272678, 0.056704539567970356, 1.4433040320225168, -0.010378771742723532, 0.06569522007887363, 0.00138380543657668, 6.9768859259259255, 1.9767490590491759, 4017.3165027646023, 5690.2777739034045, 0.7059965545423299
0.00585, 0.7540001786310799, 132.7650754852924, 89.87106015920632, 88.71849580955092, 88.77031011597886, 1.1525643496554128, 0.059832827293159904, 0.05983734464421679, 1.440171690057897, -0.01053519247907331, 0.06893187047676408, 0.0014361492954691336, 6.976409886831278, 2.011127303554379, 4016.49424370113, 5689.113095325044, 0.7059965545423298
0.00595, 0.7327906336047013, 136.13994582746042, 91.69216932851259, 90.32158588923583, 90.38983254391914, 1.370583439276756, 0.06303931918276265, 0.06304407201964254, 1.4369654336541173, -0.010691205105948764, 0.07224258883687837, 0.0014879354518330464, 6.976068158436213, 2.045505548059582, 4015.9040477739195, 5688.277119676984, 0.70599655454233
0.00605, 0.7110024425666462, 139.40290584238682, 93.38993771279745, 91.9592823227902, 92.04582490674655, 1.4306553900072427, 0.06633303089237086, 0.06633801899469548, 1.4336719572099537, -0.010846816482984098, 0.07562824290406518, 0.0015516044712897744, 6.975314773662553, 2.079883792564785, 4014.603088195199, 5686.43439173398, 0.7059965545423298
0.00615, 0.6877914837676468, 142.19776166023814, 94.68876217689288, 93.63582670265016, 93.67510377080389, 1.0529354742427093, 0.06969531764661963, 0.06970054577557504, 1.4303099104823358, -0.011002033243017245, 0.07908981396485491, 0.0016075369247819645, 6.974718755144034, 2.1142620370699885, 4013.5740708332924, 5684.976852946736, 0.7059965545423298
0.00625, 0.6633008565697899, 145.55443451935128, 96.45401937212152, 95.22065444387772, 95.31395987900261, 1.2333649282438, 0.07312247389181989, 0.07312795581750414, 1.4268830080338644, -0.011156861803155095, 0.0826251796344703, 0.0016541560605046804, 6.974355185185185, 2.1486402815751915, 4012.946458904524, 5684.08787987069, 0.70599655454233
0.00635, 0.6377856329755245, 149.12916727964574, 98.59490003575452, 96.91479578522866, 96.89005699844517, 1.6801042505258534, 0.07664502996942973, 0.07665076206994977, 1.4233607021310903, -0.011311308375130386, 0.08623697958835215, 0.0017193587562079687, 6.973714681069959, 2.1830185260803945, 4011.840949100152, 5682.5219943188995, 0.7059965545423299
0.00645, 0.6131291454824934, 152.08637959127233, 99.91170463907667, 98.37578743662625, 98.43879146988172, 1.535917202450418, 0.08024286713134002, 0.08024885792649004, 1.41976312366381, -0.011465378975006083, 0.08991971794523557, 0.001788528161110538, 6.9730030658436215, 2.217396770585598, 4010.612939670879, 5680.782595703748, 0.7059965545423298
0.00655, 0.5858009406507957, 155.0914596473642, 101.44231563779512, 100.01149763393698, 100.00156191388172, 1.4308180038581413, 0.08390661969610014, 0.08391287455288052, 1.4160996351606803, -0.011619079432277777, 0.09367754749013117, 0.0018481516382467416, 6.972600370370371, 2.251775015090801, 4009.9181332617354, 5679.798445845404, 0.7059965545423299
0.00665, 0.5586036981852164, 157.7771660780906, 102.52745086870745, 101.50325211190099, 101.54415873036163, 1.02419875680645, 0.08764793886160459, 0.08765446354466565, 1.4123585858214565, -0.011772415398420118, 0.097507077460429, 0.0019132767995957121, 6.972079207818932, 2.286153259596004, 4009.019044174698, 5678.524942339966, 0.7059965545423298
0.00675, 0.5298437156462427, 161.3431957675278, 104.53134227944703, 103.09639244824847, 103.16418475328625, 1.4349498311985647, 0.09143992446260785, 0.09144672270824705, 1.4085668737830312, -0.011925392354919078, 0.10141072113143755, 0.001954595686089375, 6.97179009259259, 2.3205315041012073, 4008.520331946658, 5677.818547634734, 0.7059965545423299
