Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
#x-link fraction increment: 0.001
Reservoir swelling ratio: 3.5055745959281923
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00515, 0.22185773399536798, -3.9376916607352794, 2.598433022742847, 2.0970420430854837, 2.1747259794041276, 0.5013909796573635, -0.008131414815625189, -0.008131006515300628, 1.5081318231159497, -0.009431261141903164, 6.749174850072938E-4, 6.24928841270682E-4, 3.5051086111111114, 0.22186299329520526, 658.6345245951035, 721.5277520652161, 0.9128332523730454
0.00525, 0.22614699820403966, -4.558571374238683, 1.9653463123902646, 2.273711702967141, 2.316372313310181, -0.3083653905768763, -0.008230113440590462, -0.008229623169855904, 1.5082306037113251, -0.009590288891495413, 7.184303059311135E-4, 6.417451449738376E-4, 3.505016203703703, 0.2261710125824908, 658.5824339659232, 721.4706872847157, 0.9128332523730451
0.00535, 0.23046196651524883, -4.324187744315508, 2.111593906448122, 2.3832940989478155, 2.484487507012297, -0.2717001924996938, -0.00834907056591938, -0.008348536966610788, 1.508349604165228, -0.009748861885178034, 7.651384067503628E-4, 6.346529125082916E-4, 3.5050607407407424, 0.23047903186977636, 658.607539427286, 721.4981900748447, 0.9128332523730451
0.00545, 0.23476447428483205, -3.76766778570219, 2.8896433496525895, 2.6115368795430878, 2.4385123413221264, 0.27810647010950174, -0.008436578196900024, -0.00843592620687431, 1.5084372301869258, -0.009906988624061046, 8.179126682661122E-4, 6.524977588949083E-4, 3.505049444444443, 0.23478705115706192, 658.6011716615185, 721.4912142490285, 0.9128332523730455
0.00555, 0.23909539183259718, -4.378868781992539, 2.076034729610459, 2.2950572871294748, 2.2773319543168746, -0.21902255751901553, -0.008528963451526159, -0.00852844600926014, 1.5085294808937921, -0.01006467729723361, 8.638374554859786E-4, 6.718763902214729E-4, 3.505145092592594, 0.23909507044434747, 658.6550901888967, 721.5502814743274, 0.9128332523730454
0.00565, 0.24338251131522948, -3.9205774848475916, 2.31342061643685, 2.2829409870381365, 2.4586995021191353, 0.030479629398713206, -0.008645653780441494, -0.00864514054372365, 1.5086461670171594, -0.010221935798633763, 9.100300542909111E-4, 6.66251963901357E-4, 3.5050437962962953, 0.24340308973163302, 658.5979877940273, 721.4877263529831, 0.9128332523730452
0.00575, 0.2476651674976193, -3.4288378579795995, 3.0157376270500182, 2.6571649373247013, 2.562231876830789, 0.3585726897253171, -0.008716157237472644, -0.008715429125189501, 1.508716885349756, -0.010378771742723532, 9.656986796095985E-4, 6.969158256412895E-4, 3.504953888888889, 0.24771110901891857, 658.5473082685785, 721.4322074229736, 0.9128332523730454
0.00585, 0.2520030832133535, -4.170828291483878, 2.150308604399675, 2.4961190761164462, 2.4828253197793897, -0.3458104717167714, -0.008809368728688918, -0.008808733522333771, 1.508810003935044, -0.01053519247907331, 0.0010182106512176845, 7.076130991667076E-4, 3.5050827777777784, 0.2520191283062041, 658.6199619081474, 721.5117987824908, 0.9128332523730454
0.00595, 0.2563066855088854, -4.071798209139214, 2.202742490202075, 2.4951062485041318, 2.4969688859334385, -0.2923637583020564, -0.0089152996192858, -0.008914667396301363, 1.5089159318422702, -0.010691205105948764, 0.0010713089939794623, 7.045964926835024E-4, 3.505059814814815, 0.2563271475934897, 658.6070174777273, 721.4976182841508, 0.9128332523730452
0.00605, 0.26061248438870277, -3.2280597404510045, 2.823055764297376, 2.523959359472057, 2.7067665964735865, 0.2990964048253189, -0.009003782772366088, -0.009003109743759504, 1.5090044558009728, -0.010846816482984098, 0.0011256960369252576, 7.173376736927525E-4, 3.5050562962962957, 0.2606351668807752, 658.605034071922, 721.4954454822724, 0.9128332523730454
