phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.5060301508e-03, 8.5875389789e-01, 5.3310039875e-03, 2.3321370931e+02, 2.2430301948e+02
2.5089447236e-03, 8.5970173822e-01, 5.4943838850e-03, 2.3643226503e+02, 2.2725915685e+02
2.5118592965e-03, 8.6067049159e-01, 5.6600665184e-03, 2.3983173118e+02, 2.3039297350e+02
2.5147738693e-03, 8.6165111452e-01, 5.8281759748e-03, 2.4340709597e+02, 2.3369926234e+02
2.5176884422e-03, 8.6263173745e-01, 5.9988329076e-03, 2.4715324071e+02, 2.3717271567e+02
2.5206030151e-03, 8.6360923432e-01, 6.1721543152e-03, 2.5106495683e+02, 2.4080794315e+02
2.5235175879e-03, 8.6457474796e-01, 6.3482535998e-03, 2.5513696151e+02, 2.4459948689e+02
2.5264321608e-03, 8.6554026160e-01, 6.5272403926e-03, 2.5936391473e+02, 2.4854183883e+02
2.5293467337e-03, 8.6650577524e-01, 6.7092206791e-03, 2.6374043395e+02, 2.5262945516e+02
2.5322613065e-03, 8.6748026009e-01, 6.8942966054e-03, 2.6826111284e+02, 2.5685677551e+02
2.5351758794e-03, 8.6845733661e-01, 7.0825666389e-03, 2.7292053554e+02, 2.6121823673e+02
2.5380904523e-03, 8.6943441314e-01, 7.2741253962e-03, 2.7771329348e+02, 2.6570828980e+02
2.5410050251e-03, 8.7040359075e-01, 7.4690638012e-03, 2.8263400206e+02, 2.7032141665e+02
2.5439195980e-03, 8.7135776042e-01, 7.6674690208e-03, 2.8767731668e+02, 2.7505214600e+02
2.5468341709e-03, 8.7231193009e-01, 7.8694245103e-03, 2.9283794963e+02, 2.7989506991e+02
2.5497487437e-03, 8.7326609976e-01, 8.0750100778e-03, 2.9811068452e+02, 2.8484485854e+02
2.5526633166e-03, 8.7422041600e-01, 8.2843019591e-03, 3.0349039484e+02, 2.8989627820e+02
